154.621	158.145	219.406	227.683
398.163	173.368	192.651	190.123
587.411	271.084	187.691	183.576
767.197	383.567	78.793	174.789
966.547	493.813	79.497	154.316
1153.789	601.378	177.082	132.817
1210.926	855.579	267.758	257.425
1851.381	960.432	371.956	289.519
1987.364	1176.283	491.123	321.374
2536.123	1293.657	512.859	549.173
2292.341	1578.624	653.717	784.136
1988.324	2354.324	717.965	879.152
1326.939	3478.926	955.912	901.239
857.128	4588.675	1169.359	1225.482
605.327	5499.367	1292.924	1340.976
458.386	6468.567	1318.549	1875.846
218.859	7353.932	1257.354	1916.124
195.737	9335.124	984.167	863.928
106.168	11261.946	716.375	703.153
185.761	12151.387	541.326	631.195
790.639	13910.519	475.651	571.588
1323.784	15485.142	244.856	436.847
1831.438	17688.125	448.314	341.842
2321.321	19883.435	644.716	239.425
2891.845	14972.834	829.942	122.147
3308.614	9080.562	949.316	95.954
3529.956	7887.987	1148.231	150.492
4730.129	5688.951	1347.987	254.897
5917.152	3455.494	1542.967	458.289
8678.654	1211.209	1732.856	672.164
9212.145	996.197	1915.632	853.356
12886.243	677.325	1493.135	427.168
12362.345	364.615	1177.824	206.123
10632.879	152.534	963.453	182.659
9267.156	45.178	779.167	93.834
7070.531	36.176	580.836	71.345
4984.243	20.364	287.192	66.841
2881.956	10.428	185.834	93.952
1616.829	8.475	301.985	109.463
973.329	16.924	528.591	233.415
449.421	54.183	602.861	308.613
225.356	96.324	705.817	407.319
176.578	176.457	978.473	282.263
170.948	195.814	1081.417	184.132
168.334	204.549	1178.653	61.953
