2.05	22.015	1.05	4.015	5	1	8.1
5.150	16.1	1.15	9.109	15.8	2.1	4.2
8.2	10.125	1.192	14.125	22.5	2.5	3.5
11.25	4.175	1.25	19.175	28.7	3.51	2.72
14.325	1.2	4.325	24.198	34.5	4.2	2.53
17.35	0.25	8.35	29.251	39	5.02	2.1
20.49	5.4	12.411	34.495	46.7	8.2	1.15
23.698	10.5	16.505	28.498	53.8	10.1	0.72
26.900	15.7	20.61	22.598	65	12.8	0.54
29.45	20.7	24.695	16.699	82	14.4	0.15
32.75	25.75	21.75	9.748	95.4	16.7	0.55
28.8	30.775	18.804	4.775	102.8	18.5	1.76
24.95	35.8	15.85	2.798	117	21.3	2.23
20.84	40.85	12.05	7.85	129.78	25.7	4.61
16.91	34.855	9.91	13.855	99	29.9	6.16
10.925	22.865	5.925	19.865	85.5	32.5	8.25
4.929	16.885	1.011	25.875	71.9	28.7	12.37
2.933	4.915	5.933	31.899	57.5	24.2	14.26
1.935	8.95	10.935	37.951	43.58	19.1	16.51
3.95	16.975	16.95	42.975	29.4	19.7	19.74
9.81	20.995	22.95	35.015	15.5	21	15.14
12.75	24.975	28.108	27.975	12.5	23.56	13.35
15.15	28.95	34.251	19.95	9.8	25.3	8.58
18.2	32.9	38.204	12.915	6.5	28.7	6.74
21.45	36.875	34.248	6.875	4.4	31.56	4.85
24.325	40.865	28.325	1.865	2.5	37.1	6.21
27.35	46.855	23.351	5.855	1.3	34.7	9.52
30.4	52.85	18.408	9.85	4.7	26.2	10.75
34.5	47.775	13.495	14.775	11.2	23.7	12.95
29.6	42.75	8.607	19.75	14.7	20.36	8.1
24.7	37.71	3.697	25.697	17.8	17.7	4.15
19.75	32.603	1.75	31.605	20.1	13.34	2.36
14.8	27.495	2.798	37.495	40.52	11.72	1.35
9.85	22.394	5.85	44.415	65.2	9.9	2.13
4.907	17.245	8.913	36.255	80.76	7.74	4.57
1.91	12.192	12.91	28.205	91.1	6.36	6.75
6.925	7.175	17.925	19.175	109.5	5.7	9.26
12.929	2.125	22.929	9.125	122.9	4.75	11.79
18.01	1.105	27.933	3.091	128.3	3.65	13.12
24.935	3.01	21.935	1.985	94.5	3.52	15.36
19.95	13.11	15.95	4.115	57.6	2.72	12.85
14.02	18.115	3.995	9.115	35.8	2.34	10.34
9.05	12.128	9.95	15.12	15.26	2.16	12.68
4.935	6.131	17.935	22.13	9.52	1.76	14.32
1.925	2.135	25.925	29.135	4.8	1.48	16.16
