2.184	0.9472	1.592	3.08471	1.5208
2.22499	0.97999	1.61249	3.10882	1.56998
2.23031	0.98424	1.61515	3.11194	1.57637
2.24923	0.99938	1.62461	3.12307	1.59907
2.28175	1.0254	1.64087	3.1422	1.6381
2.32787	1.06229	1.66393	3.16933	1.69344
2.17759	0.94207	1.58879	3.08093	1.5131
2.19091	0.95272	1.59545	3.08877	1.52909
2.21783	0.97426	1.60891	3.1046	1.56139
2.25835	1.00668	1.62917	3.12844	1.61002
2.194	0.9552	1.597	3.09059	1.5328
6.4772	4.38176	3.7386	5.61012	6.67264
5.5256	3.62048	3.2628	5.05035	5.53072
1.9552	0.76416	1.4776	2.95012	1.24624
1.9804	0.78432	1.4902	2.96494	1.27648
2.0192	0.81536	1.5096	2.98776	1.32304
2.0716	0.85728	1.5358	3.01859	1.38592
2.1376	0.91008	1.5688	3.05741	1.46512
2.7128	1.37024	1.8564	3.39576	2.15536
2.8096	1.44768	1.9048	3.45271	2.27152
1.8916	0.71328	1.4458	2.91271	1.16992
2.2064	0.96512	1.6032	3.09788	1.54768
2.7948	1.43584	1.8974	3.444	2.25376
3.3968	1.91744	2.1984	3.79812	2.97616
3.2652	1.81216	2.1326	3.72071	2.81824
2.6704	1.33632	1.8352	3.37082	2.10448
2.0156	0.81248	1.5078	2.98565	1.31872
1.9644	0.77152	1.4822	2.95553	1.25728
1.9268	0.74144	1.4634	2.93341	1.21216
1.9028	0.72224	1.4514	2.91929	1.18336
1.8924	0.71392	1.4462	2.91318	1.17088
2.5004	1.20032	1.7502	3.27082	1.90048
2.4804	1.18432	1.7402	3.25906	1.87648
2.9472	1.55776	1.9736	3.53365	2.43664
3.1608	1.72864	2.0804	3.65929	2.69296
3.3012	1.84096	2.1506	3.74188	2.86144
3.0484	1.63872	2.0242	3.59318	2.55808
3.0424	1.63392	2.0212	3.58965	2.55088
3.2312	1.78496	2.1156	3.70071	2.77744
3.3316	1.86528	2.1658	3.75976	2.89792
